"Reference","Qty","Value","LCSC Part","Footprint"
"C1,C3,C15,C17","4","10uF","C315248","Capacitor_SMD:C_0402_1005Metric"
"C2,C4,C16,C18","4","100nF","C1525","Capacitor_SMD:C_0402_1005Metric"
"C5,C6,C7,C8,C10,C11,C12,C13,C14,C19,C20","11","1uF","C14445","Capacitor_SMD:C_0402_1005Metric"
"D1,D2,D3,D4,D5,D6","6","LED","C20608784","LED_SMD:LED_0402_1005Metric"
"H1,H2,H3,H4","4","MountingHole_Pad_MP","","MountingHole:MountingHole_2.5mm_Pad_TopBottom"
"J1,J2,J3,J4","4","USB_A","C668591","easyeda2kicad:USB-A-TH_10.0QHHTZB6.3"
"R1,R2,R11,R12,R13,R14,R15,R16","8","5.1K","C25905","Resistor_SMD:R_0402_1005Metric"
"R3,R4,R5,R6,R7,R8,R9,R10","8","56K","C25796","Resistor_SMD:R_0402_1005Metric"
"SW1","1","SW_Push_45deg","-","Resistor_SMD:R_0402_1005Metric"
"U1,U2","2","SL2.1S","C2684433","easyeda2kicad:SSOP-16_L4.6-W2.6-P0.53-LS4.0-BL"
"U3","1","MCP2221AxML","C637690","Package_DFN_QFN:QFN-16-1EP_4x4mm_P0.65mm_EP2.5x2.5mm"
"USB1,USB2,USB3,USB4,USB5","5","TYPE-C 16PIN 2MD(073)","C2765186","easyeda2kicad:USB-C-SMD_TYPE-C-6PIN-2MD-073"
