Designator,Mid X,Mid Y,Rotation,Layer
C1,140.33,-32.9,180.0,top
C10,152.926667,-41.960001,90.0,top
C11,126.82,-41.960001,90.0,top
C12,139.873333,-41.960001,90.0,top
C13,161.07,-32.82,180.0,top
C14,165.98,-41.960001,90.0,top
C2,140.33,-33.9,180.0,top
C3,140.33,-35.9,180.0,top
C4,140.33,-34.9,180.0,top
C5,161.18,-41.960001,90.0,top
C6,122.02,-41.960001,90.0,top
C7,135.073333,-41.960001,90.0,top
C8,148.126667,-41.960001,90.0,top
C9,161.07,-37.9,180.0,top
D1,156.865,-31.575,0.0,top
R1,161.05,-36.75,180.0,top
R10,130.946667,-47.2,0.0,top
R11,160.8,-31.575,180.0,top
R12,158.86,-31.575,180.0,top
R2,161.05,-33.75,180.0,top
R3,157.053334,-47.2,180.0,top
R4,157.053334,-48.2,180.0,top
R5,157.053334,-46.2,0.0,top
R6,157.053334,-45.2,0.0,top
R7,130.946667,-45.2,180.0,top
R8,130.946667,-46.2,180.0,top
R9,130.946667,-48.2,0.0,top
U1,144.0,-36.25,0.0,top
USB1,165.25,-35.5,90.0,top
USB2,163.58,-46.1675,0.0,top
USB3,150.526667,-46.1675,0.0,top
USB4,137.473333,-46.1675,0.0,top
USB5,124.42,-46.1675,0.0,top
